time,result,link
"102. jarná aukcia výtvarných diel, 13.03.2012",Na aukcii bolo vydražených 182 diel (63%)  v celkovej hodnote 492 580 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/102-jarna-aukcia-vytvarnych-diel
"101. zimná aukcia výtvarných diel a starožitností, 06.12.2011",Na aukcii bolo vydražených 181 diel (52%)  v celkovej hodnote 464 990 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/101-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"100. jubilejná večerná aukcia , 15.11.2011",Na aukcii bolo vydražených 65 diel (81%)  v celkovej hodnote 2 393 200 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/100-jubilejna-vecerna-aukcia
"99. jesenná aukcia výtvarných diel, 04.10.2011",Na aukcii bolo vydražených 153 diel (46%)  v celkovej hodnote 246 850 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/99-jesenna-aukcia-vytvarnych-diel
"98. letná aukcia vytvarných diel a starožitností, 07.06.2011",Na aukcii bolo vydražených 202 diel (47%)  v celkovej hodnote 440 165 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/98-letna-aukcia-vytvarnych-diel-a-starozitnosti
"97.  aukcia súčasného umenia, 17.05.2011",Na aukcii bolo vydražených 55 diel (35%)  v celkovej hodnote 49 330 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/97-aukcia-sucasneho-umenia
"96. jarná aukcia výtvarných diel, 08.03.2011",Na aukcii bolo vydražených 200 diel (59%)  v celkovej hodnote 432 120 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/96-jarna-aukcia-vytvarnych-diel
"95. zimná aukcia výtvarných diel a starožitností, 07.12.2010",Na aukcii bolo vydražených 188 diel (52%)  v celkovej hodnote 511 960 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/95-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"94. Aukcia súčasného umenia, 26.10.2010",Na aukcii bolo vydražených 49 diel (39%)  v celkovej hodnote 74 070 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/94-aukcia-sucasneho-umenia
"93. Jesenná aukcia výtvarných diel, 05.10.2010",Na aukcii bolo vydražených 200 diel (50%)  v celkovej hodnote 839 320 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/93-jesenna-aukcia-vytvarnych-diel
"92. Letná aukcia výtvarných diel a starožitností, 08.06.2010",Na aukcii bolo vydražených 180 diel (46%)  v celkovej hodnote 438 750 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/92-letna-aukcia-vytvarnych-diel-a-starozitnosti
"91. Aukcia súčasného umenia, 18.05.2010",Na aukcii bolo vydražených 45 diel (34%)  v celkovej hodnote 119 140 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/91-aukcia-sucasneho-umenia
"90. Jarná aukcia výtvarných diel , 09.03.2010",Na aukcii bolo vydražených 195 diel (52%)  v celkovej hodnote 316 740 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/90-jarna-aukcia-vytvarnych-diel
"89. Zimná aukcia výtvarných diel a starožitností, 01.12.2009",Na aukcii bolo vydražených 173 diel (42%)  v celkovej hodnote 373 800 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/89-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"88. Aukcia súčasného umenia, 27.10.2009",Na aukcii bolo vydražených 59 diel (35%)  v celkovej hodnote 94 620 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/88-aukcia-sucasneho-umenia
"87. Jesenná aukcia výtvarných diel , 06.10.2009",Na aukcii bolo vydražených 198 diel (58%)  v celkovej hodnote 387 174 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/87-jesenna-aukcia-vytvarnych-diel
"86. Letná aukcia výtvarných diel a starožitností, 09.06.2009",Na aukcii bolo vydražených 211 diel (51%)  v celkovej hodnote 479 865 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/86-letna-aukcia-vytvarnych-diel-a-starozitnosti
"85. Aukcia súčasného slovenského umenia, 19.05.2009",Na aukcii bolo vydražených 54 diel (46%)  v celkovej hodnote 88 990 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/85-aukcia-sucasneho-slovenskeho-umenia
"84. jarná aukcia výtvarných diel , 10.03.2009",Na aukcii bolo vydražených 210 diel (63%)  v celkovej hodnote 340 010 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/84-jarna-aukcia-vytvarnych-diel
"83. zimná aukcia výtvarných diel a starožitností , 02.12.2008",Na aukcii bolo vydražených 206 diel (61%)  v celkovej hodnote 366 845 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/83-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"82. aukcia súčasného slovenského umenia, 28.10.2008",Na aukcii bolo vydražených 56 diel (52%)  v celkovej hodnote 79 488 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/82-aukcia-sucasneho-slovenskeho-umenia
"81. jesenná aukcia výtvarných diel, 07.10.2008",Na aukcii bolo vydražených 233 diel (61%)  v celkovej hodnote 463 692 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/81-jesenna-aukcia-vytvarnych-diel
"80. letná aukcia výtvarných diel a starožitností, 10.06.2008",Na aukcii bolo vydražených 243 diel (55%)  v celkovej hodnote 441 120 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/80-letna-aukcia-vytvarnych-diel-a-starozitnosti
"79. aukcia súčasného slovenského umenia, 20.05.2008",Na aukcii bolo vydražených 55 diel (46%)  v celkovej hodnote 83 484 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/79-aukcia-sucasneho-slovenskeho-umenia
"78. jarná aukcia výtvarných diel, 11.03.2008",Na aukcii bolo vydražených 224 diel (71%)  v celkovej hodnote 289 680 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/78-jarna-aukcia-vytvarnych-diel
"77. Zimná aukcia výtvarného umenia a starožitností, 27.11.2007",Na aukcii bolo vydražených 231 diel (58%)  v celkovej hodnote 329 161 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/77-zimna-aukcia-vytvarneho-umenia-a-starozitnosti
"75. Aukcia súčasného slovenského umenia, 23.10.2007",Na aukcii bolo vydražených 48 diel (45%)  v celkovej hodnote 77 692 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/75-aukcia-sucasneho-slovenskeho-umenia
"74. Jesenná aukcia výtvarných diel, 02.10.2007",Na aukcii bolo vydražených 201 diel (62%)  v celkovej hodnote 318 555 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/74-jesenna-aukcia-vytvarnych-diel
