name,piece,id,nevydražené,poradové_číslo,vyvolávacia_cena,konečná_cena,cena_v predaji,odhadovaná_cena,vysledok
CHRIEN EUGEN (1896 - 1956),Tatranské pleso,CHRIEN EUGEN (1896 - 1956) Tatranské pleso,NA,9,300,300,NA,NA,0
CHWALA ADOLF (1836 - 1900),Alpské jazero,CHWALA ADOLF (1836 - 1900) Alpské jazero,NA,187,2600,4400,NA,NA,1800
CHWALA ADOLF (1836 - 1900),Horské jazero,CHWALA ADOLF (1836 - 1900) Horské jazero,NA,196,2600,3600,NA,NA,1e3
CIGLER VÁCLAV (1929),Šperkový set (unikát),CIGLER VÁCLAV (1929) Šperkový set (unikát),NA,86,NA,NA,NA,NA,NA
ČÍLA OTAKAR (1894 - 1977),Pastier,ČÍLA OTAKAR (1894 - 1977) Pastier,NA,188,2500,NA,NA,NA,NA
CIPÁR MIROSLAV (1935),Príbeh II.,CIPÁR MIROSLAV (1935) Príbeh II.,NA,245,2e3,1600,NA,NA,-400
CIPÁR MIROSLAV (1935),Príbeh III.,CIPÁR MIROSLAV (1935) Príbeh III.,NA,244,2e3,1600,NA,NA,-400
CIPPER GIACOMO FRANCESCO -  Okruh (1664 - 1736),Starena s dieťaťom,CIPPER GIACOMO FRANCESCO -  Okruh (1664 - 1736) Starena s dieťaťom,NA,217,3e3,NA,NA,NA,NA
CIPPER GIACOMO FRANCESCO - OKRUH (1664 - 1736),Starena s dieťaťom,CIPPER GIACOMO FRANCESCO - OKRUH (1664 - 1736) Starena s dieťaťom,NA,153,2500,NA,NA,NA,NA
CLAESZ HEDA WILLEM– OKRUH (1594 -1680),Zátišie s pohárom,CLAESZ HEDA WILLEM– OKRUH (1594 -1680) Zátišie s pohárom,NA,28,NA,NA,NA,NA,NA
CLEMENSEN (XIX. - XX.),Dánsky fjord,CLEMENSEN (XIX. - XX.) Dánsky fjord,NA,167,250,250,NA,NA,0
CLEVE JOOS – OKRUH (1485 - 1540),Snímanie z kríža,CLEVE JOOS – OKRUH (1485 - 1540) Snímanie z kríža,NA,177,4e3,NA,NA,NA,NA
COLAVINI ARTURO MARION (1862 - 1938),Letné divadlo,COLAVINI ARTURO MARION (1862 - 1938) Letné divadlo,NA,203,2500,NA,NA,NA,NA
COLLINÁSY JURAJ (1907 - 1963),Pri klavíri (Kytice),COLLINÁSY JURAJ (1907 - 1963) Pri klavíri (Kytice),NA,107,1e3,NA,NA,NA,NA
COLLINÁSY JURAJ (1907 - 1963),V ateliéri (Autoportrét),COLLINÁSY JURAJ (1907 - 1963) V ateliéri (Autoportrét),NA,210,200,NA,NA,NA,NA
COLLINÁSY JURAJ (1907 - 1963),Van Gogh,COLLINÁSY JURAJ (1907 - 1963) Van Gogh,NA,54,NA,7e3,NA,"5 000,00 - 6 000,00 €",NA
CONDOY HONORÉ GARCIA (1900 - 1953),Hlava ženy,CONDOY HONORÉ GARCIA (1900 - 1953) Hlava ženy,NA,65,NA,NA,NA,NA,NA
CONDOY HONORÉ GARCIA (1900 - 1953),Tanec,CONDOY HONORÉ GARCIA (1900 - 1953) Tanec,NA,52,NA,600,NA,700 - 1 000 €,NA
CONDOY HONORÉ GARCIA (1900 - 1953),Tri grácie,CONDOY HONORÉ GARCIA (1900 - 1953) Tri grácie,NA,50,NA,800,NA,800 - 1 200 €,NA
ČOREJOVÁ MÁRIA (1975),Z cyklu Rezanie I.,ČOREJOVÁ MÁRIA (1975) Z cyklu Rezanie I.,NA,267,250,NA,NA,NA,NA
ČOREJOVÁ MÁRIA (1975),Z cyklu Rezanie II.,ČOREJOVÁ MÁRIA (1975) Z cyklu Rezanie II.,NA,269,250,NA,NA,NA,NA
ČOREJOVÁ MÁRIA (1975),Z cyklu Rezanie III.,ČOREJOVÁ MÁRIA (1975) Z cyklu Rezanie III.,NA,268,250,NA,NA,NA,NA
COSTA EMANUELE (1833 - 1913),Ulička v Mentone (Francúzsko),COSTA EMANUELE (1833 - 1913) Ulička v Mentone (Francúzsko),NA,180,300,NA,NA,NA,NA
COYPEL ANTOINE - pripisované (1661 - 1722),Mytologická scéna,COYPEL ANTOINE - pripisované (1661 - 1722) Mytologická scéna,NA,19,NA,NA,NA,NA,NA
CPIN ŠTEFAN (1919 - 1971),Tancujúci,CPIN ŠTEFAN (1919 - 1971) Tancujúci,NA,52,900,700,NA,NA,-200
CPIN ŠTEFAN (1919 - 1971),Tri ženy,CPIN ŠTEFAN (1919 - 1971) Tri ženy,NA,4,100,220,NA,NA,120
CRADOCK MARMADUK - PRIPISOVANÉ (c.1660 - 1717),Hašterivé kohúty,CRADOCK MARMADUK - PRIPISOVANÉ (c.1660 - 1717) Hašterivé kohúty,NA,215,3e3,NA,NA,NA,NA
CSERNA KÁROLY (1867 - 1944),Orientálny výjav,CSERNA KÁROLY (1867 - 1944) Orientálny výjav,NA,151,700,700,NA,NA,0
CSILLAG JÓZSEF (1894 - 1977),Žatva na puste,CSILLAG JÓZSEF (1894 - 1977) Žatva na puste,NA,144,700,NA,NA,NA,NA
CSOHANY KÁLMÁN (XIX. – XX.),Divé maky,CSOHANY KÁLMÁN (XIX. – XX.) Divé maky,NA,159,800,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Dedina v zime,CSORDÁK ĽUDOVÍT (1864 - 1937) Dedina v zime,NA,16,NA,2600,NA,"2 600,00 - 3 200,00 €",NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Dom na stráni,CSORDÁK ĽUDOVÍT (1864 - 1937) Dom na stráni,NA,81,2500,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Krajina pri Hornáde,CSORDÁK ĽUDOVÍT (1864 - 1937) Krajina pri Hornáde,NA,20,NA,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Pri rieke,CSORDÁK ĽUDOVÍT (1864 - 1937) Pri rieke,NA,66,300,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Prímorská krajina,CSORDÁK ĽUDOVÍT (1864 - 1937) Prímorská krajina,NA,77,2e3,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),S volským záprahom,CSORDÁK ĽUDOVÍT (1864 - 1937) S volským záprahom,NA,50,350,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Súmrak v lese,CSORDÁK ĽUDOVÍT (1864 - 1937) Súmrak v lese,NA,54,1400,1100,NA,NA,-300
CSORDÁK ĽUDOVÍT (1864 - 1937),Vnútro lesa,CSORDÁK ĽUDOVÍT (1864 - 1937) Vnútro lesa,NA,47,1800,3800,NA,NA,2e3
CSORDÁK ĽUDOVÍT (1864 - 1937),Východoslovenská krajina,CSORDÁK ĽUDOVÍT (1864 - 1937) Východoslovenská krajina,NA,76,2500,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Zima v Tatrách,CSORDÁK ĽUDOVÍT (1864 - 1937) Zima v Tatrách,NA,53,2900,NA,NA,NA,NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Zo starého parku,CSORDÁK ĽUDOVÍT (1864 - 1937) Zo starého parku,NA,12,NA,2500,NA,"3 000,00 – 4 000,00 €",NA
CSORDÁK ĽUDOVÍT (1864 - 1937),Zvážanie sena,CSORDÁK ĽUDOVÍT (1864 - 1937) Zvážanie sena,NA,6,NA,8e3,NA,8 000 – 9 000 €,NA
CSUDAI IVAN  (1959),Nosič zástav II.,CSUDAI IVAN  (1959) Nosič zástav II.,NA,87,NA,9e3,NA,8 000 – 9 000 €,NA
CSUDAI IVAN (1959) - DIVIŠ STANISLAV  (1953) - TEREN LACO  (1960),Dlhá cesta domov,CSUDAI IVAN (1959) - DIVIŠ STANISLAV  (1953) - TEREN LACO  (1960) Dlhá cesta domov,NA,90,NA,4e3,NA,4 000 – 5 000 €,NA
CSUDAI IVAN (1959),Flagmaker (Maliar zástav),CSUDAI IVAN (1959) Flagmaker (Maliar zástav),NA,87,NA,9e3,NA,9 000 – 11 000 €,NA
CSUDAI IVAN (1959),Kabinet sĺz,CSUDAI IVAN (1959) Kabinet sĺz,NA,268,2e3,NA,NA,NA,NA
CSUDAI IVAN (1959),Lily,CSUDAI IVAN (1959) Lily,NA,78,NA,8500,NA,9 000 - 10 000 €,NA
CSUDAI IVAN (1959),Velvet I.,CSUDAI IVAN (1959) Velvet I.,NA,81,NA,NA,NA,NA,NA
ČUNDERLÍK MARIÁN (1926 - 1983),Dievča pred zrkadlom,ČUNDERLÍK MARIÁN (1926 - 1983) Dievča pred zrkadlom,NA,214,300,NA,NA,NA,NA
ČUNDERLÍK MARIÁN (1926 - 1983),Viola,ČUNDERLÍK MARIÁN (1926 - 1983) Viola,NA,76,NA,19500,NA,"15 000,00 – 17 000,00 €",NA
ČUNDERLÍK MARIÁN (1926 - 1983),Zrkadlo,ČUNDERLÍK MARIÁN (1926 - 1983) Zrkadlo,NA,212,6500,NA,NA,NA,NA
ČUTEK ANTON,Sediaca,ČUTEK ANTON Sediaca,NA,61,NA,3400,NA,2 500 – 3 000 €,NA
ČUTEK JURAJ (1957),Torzo s tógou,ČUTEK JURAJ (1957) Torzo s tógou,NA,291,600,600,NA,NA,0
CVENGROŠOVÁ LUDMILA (1937),Materstvo,CVENGROŠOVÁ LUDMILA (1937) Materstvo,NA,18,NA,NA,850 €,NA,NA
CVETANOV CVETELIN (1963),Cirkus,CVETANOV CVETELIN (1963) Cirkus,NA,200,500,550,NA,NA,50
CVIK PETER (1985),Tales of inexpresible nr. 4.,CVIK PETER (1985) Tales of inexpresible nr. 4.,NA,140,400,400,NA,NA,0
CYPRICH ROBERT (1951 - 1996),Partitúra,CYPRICH ROBERT (1951 - 1996) Partitúra,NA,257,700,700,NA,NA,0
CZÓBEL BÉLA – PRIPISOVANÉ (1883 - 1976),Dievča v žltých šatoch,CZÓBEL BÉLA – PRIPISOVANÉ (1883 - 1976) Dievča v žltých šatoch,NA,174,2e3,2e3,NA,NA,0
DALÍ  SALVADOR (1904 - 1989),"Al Matadero (z cyklu ""Les caprices de Goya"")","DALÍ  SALVADOR (1904 - 1989) Al Matadero (z cyklu ""Les caprices de Goya"")",NA,197,500,500,NA,NA,0
DALÍ SALVADOR (1904 - 1989),"Como dios manda (z cyklu ""Les caprices de Goya"")","DALÍ SALVADOR (1904 - 1989) Como dios manda (z cyklu ""Les caprices de Goya"")",NA,195,500,500,NA,NA,0
DALÍ SALVADOR (1904 - 1989),Don Quijote,DALÍ SALVADOR (1904 - 1989) Don Quijote,NA,204,600,850,NA,NA,250
DALÍ SALVADOR (1904 - 1989),Metafyzická krajina,DALÍ SALVADOR (1904 - 1989) Metafyzická krajina,NA,198,800,NA,NA,NA,NA
DALÍ SALVADOR (1904 - 1989),"Refleios de luna (z cyklu ""Les caprices de Goya"")","DALÍ SALVADOR (1904 - 1989) Refleios de luna (z cyklu ""Les caprices de Goya"")",NA,196,500,500,NA,NA,0
DALÍ SALVADOR (1904 - 1989),Únos Európy,DALÍ SALVADOR (1904 - 1989) Únos Európy,NA,181,600,500,NA,NA,-100
DALÍ SALVATOR (1904 - 1989),Plodnosť,DALÍ SALVATOR (1904 - 1989) Plodnosť,NA,241,500,NA,NA,NA,NA
DALÍ SALVATOR (1904 - 1989),Tekutý čas,DALÍ SALVATOR (1904 - 1989) Tekutý čas,NA,240,700,NA,NA,NA,NA
DALLOŠOVÁ-STRAPKOVÁ  ZUZANA (1949),Slovenská madona,DALLOŠOVÁ-STRAPKOVÁ  ZUZANA (1949) Slovenská madona,NA,40,1200,NA,NA,NA,NA
DAMKO JOZEF (1872 - 1955),Busta Františka Jozefa I.,DAMKO JOZEF (1872 - 1955) Busta Františka Jozefa I.,NA,60,700,1100,NA,NA,400
DAUBIGNY KARL PIERE – PRIPISOVANÉ (1846 - 1866),Dve ženy so psom,DAUBIGNY KARL PIERE – PRIPISOVANÉ (1846 - 1866) Dve ženy so psom,NA,172,2e3,NA,NA,NA,NA
DEÁK-ÉBNER LAJOS (1850 - 1934),Na dvore,DEÁK-ÉBNER LAJOS (1850 - 1934) Na dvore,NA,131,250,NA,NA,NA,NA
DEÁK-ÉBNER LAJOS (1850 - 1934),Na trhu,DEÁK-ÉBNER LAJOS (1850 - 1934) Na trhu,NA,117,1450,NA,NA,NA,NA
DEÁK-ÉBNER LAJOS (1850 - 1934),Trhovisko,DEÁK-ÉBNER LAJOS (1850 - 1934) Trhovisko,NA,118,500,NA,NA,NA,NA
DELAUNAY SONIA (1885 - 1979),Orfistická kompozícia,DELAUNAY SONIA (1885 - 1979) Orfistická kompozícia,NA,209,1e3,1e3,NA,NA,0
DELPY JACQUES HENRI - PRIPISOVANÉ (1877 - 1957),Člnkovanie na jazere,DELPY JACQUES HENRI - PRIPISOVANÉ (1877 - 1957) Člnkovanie na jazere,NA,156,850,NA,NA,NA,NA
DEMARTINI HUGO (1931 - 2010),Mimo vymedzené miesto,DEMARTINI HUGO (1931 - 2010) Mimo vymedzené miesto,NA,92,NA,25e3,NA,"30 000,00 – 40 000,00 €",NA
DIAZ DE LA PENA NARCISSE VIRGILE (1808 - 1876),Zberačka raždia v lese,DIAZ DE LA PENA NARCISSE VIRGILE (1808 - 1876) Zberačka raždia v lese,NA,19,NA,NA,NA,NA,NA
DIBLÍK FRANTIŠEK XAVER (1887 - 1955),Kytica k sviatku,DIBLÍK FRANTIŠEK XAVER (1887 - 1955) Kytica k sviatku,NA,201,300,NA,NA,NA,NA
DIDIER JULES - PRIPISOVANÉ (1831 - 1914),Hon na líšku,DIDIER JULES - PRIPISOVANÉ (1831 - 1914) Hon na líšku,NA,121,NA,NA,1 000 €,NA,NA
DIETRICH CHRISTIAN WILHELM (1712 - 1774),Pastorálna scéna,DIETRICH CHRISTIAN WILHELM (1712 - 1774) Pastorálna scéna,NA,16,NA,NA,NA,NA,NA
DIRSKSZ BOTH JAN - NASLEDOVNÍK (1615 - 1652),Pastierka,DIRSKSZ BOTH JAN - NASLEDOVNÍK (1615 - 1652) Pastierka,NA,150,3500,3500,NA,NA,0
DOBEŠ LUDVÍK (1914 - 1979),Žánrový motív,DOBEŠ LUDVÍK (1914 - 1979) Žánrový motív,NA,190,80,100,NA,NA,20
DOBEŠ MILAN (1929),Jar,DOBEŠ MILAN (1929) Jar,NA,57,700,1150,NA,NA,450
DOBEŠ MILAN (1929),Opartová koláž,DOBEŠ MILAN (1929) Opartová koláž,NA,164,2500,2500,NA,NA,0
DOBEŠ MILAN (1929),Optický objekt,DOBEŠ MILAN (1929) Optický objekt,NA,80,NA,1e4,NA,"10 000,00 - 15 000,00 €",NA
DOBEŠ MILAN (1929),Svetelno-kinetický objekt,DOBEŠ MILAN (1929) Svetelno-kinetický objekt,NA,90,NA,NA,NA,NA,NA
DOBOŠ ANDREJ (1911 - 1997),Brezy,DOBOŠ ANDREJ (1911 - 1997) Brezy,NA,35,850,NA,NA,NA,NA
DOBOŠ ANDREJ (1911 - 1997),Senníky,DOBOŠ ANDREJ (1911 - 1997) Senníky,NA,199,400,NA,NA,NA,NA
DOBOŠ ANDREJ (1911 - 1997),Z poľa,DOBOŠ ANDREJ (1911 - 1997) Z poľa,NA,20,830,830,NA,NA,0
DÓKA JOZEF (1926 - 2002),Zátišie,DÓKA JOZEF (1926 - 2002) Zátišie,NA,33,100,130,NA,NA,30
DOLCI CARLO  - OKRUH (1616 - 1686),Svätá Anna,DOLCI CARLO  - OKRUH (1616 - 1686) Svätá Anna,NA,170,2800,NA,NA,NA,NA
DOLL FRANZ - PRIPISOVANÉ (1899 - 1982),Usadlosť v zime,DOLL FRANZ - PRIPISOVANÉ (1899 - 1982) Usadlosť v zime,NA,114,NA,NA,1 800 €,NA,NA
DREUX DE ALFRED - pripisované (1810 - 1860),Dáma na poľovačke,DREUX DE ALFRED - pripisované (1810 - 1860) Dáma na poľovačke,NA,213,4e3,4e3,NA,NA,0
DROOCHSLOOT JOOST CORNELISZ - PODĽA (1586 - 1666),Žánrová scéna (Pred kostolom),DROOCHSLOOT JOOST CORNELISZ - PODĽA (1586 - 1666) Žánrová scéna (Pred kostolom),NA,158,7e3,NA,NA,NA,NA
DROPPA VLADIMÍR (1907 - 1994),Ľudová pieseň,DROPPA VLADIMÍR (1907 - 1994) Ľudová pieseň,NA,18,1e3,NA,NA,NA,NA
DUBAY OREST (1919 - 2005),Baletka,DUBAY OREST (1919 - 2005) Baletka,NA,116,500,NA,NA,NA,NA
DUBAY OREST (1919 - 2005),Poloakt,DUBAY OREST (1919 - 2005) Poloakt,NA,127,600,500,NA,NA,-100
DUBAYOVÁ RÚTH (1954),Prechádzka,DUBAYOVÁ RÚTH (1954) Prechádzka,NA,61,400,NA,NA,NA,NA
DUBAYOVÁ RÚTH (1954),Vo Verone,DUBAYOVÁ RÚTH (1954) Vo Verone,NA,62,400,NA,NA,NA,NA
DÚBRAVSKÝ ANDREJ (1987),Stand by Mode (black),DÚBRAVSKÝ ANDREJ (1987) Stand by Mode (black),NA,82,NA,NA,NA,NA,NA
DÚBRAVSKÝ ANDREJ (1987),V sieti,DÚBRAVSKÝ ANDREJ (1987) V sieti,NA,264,4500,NA,NA,NA,NA
DUGHET GASPARD - PRIPISOVANÉ (1615 - 1675),Mytologický výjav,DUGHET GASPARD - PRIPISOVANÉ (1615 - 1675) Mytologický výjav,NA,106,2e3,1600,NA,NA,-400
DUPRÉ JULES – PRIPISOVANÉ (1811 - 1889),Žena na okraji lesa,DUPRÉ JULES – PRIPISOVANÉ (1811 - 1889) Žena na okraji lesa,NA,177,5500,NA,NA,NA,NA
DUPRÉ LOUIS – PRIPISOVANÉ (1789 - 1837),Ióannina,DUPRÉ LOUIS – PRIPISOVANÉ (1789 - 1837) Ióannina,NA,202,2500,NA,NA,NA,NA
DUŠA FERDIŠ (1888 - 1958),Práčky,DUŠA FERDIŠ (1888 - 1958) Práčky,NA,201,250,250,NA,NA,0
DVOŘÁK KAREL (1893 – 1950),Model k soche Sv. Václava,DVOŘÁK KAREL (1893 – 1950) Model k soche Sv. Václava,NA,203,300,350,NA,NA,50
DVORSKÝ BOHUMIL (1902 - 1976),Kytica,DVORSKÝ BOHUMIL (1902 - 1976) Kytica,NA,205,3e3,3e3,NA,NA,0
EBERL (EberlE) FRANCOIS ZDENĚK (1887 - 1962),Akt ženy,EBERL (EberlE) FRANCOIS ZDENĚK (1887 - 1962) Akt ženy,NA,236,6500,12700,NA,NA,6200
EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962),Krajina so stromami,EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962) Krajina so stromami,NA,237,1100,NA,NA,NA,NA
EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962),Kytica kvetov,EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962) Kytica kvetov,NA,238,750,850,NA,NA,100
EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962),Stredomorská krajina,EBERL (Eberle) FRANCOIS ZDENĚK (1887 - 1962) Stredomorská krajina,NA,239,300,NA,NA,NA,NA
EBERL FRANCOIS ZDENĚK (1887 - 1962),Ležiaci akt,EBERL FRANCOIS ZDENĚK (1887 - 1962) Ležiaci akt,NA,59,NA,14300,NA,"7 000,00 - 12 000,00 €",NA
EBERL FRANCOIS ZDENĚK (1887 - 1962),Mladá žena s korálovým náhrdelníkom,EBERL FRANCOIS ZDENĚK (1887 - 1962) Mladá žena s korálovým náhrdelníkom,NA,25,NA,6600,NA,5 000 – 6 000 €,NA
EBERL FRANCOIS ZDENĚK (1887 - 1962),Molsheim (Alsasko),EBERL FRANCOIS ZDENĚK (1887 - 1962) Molsheim (Alsasko),NA,208,1200,NA,NA,NA,NA
EBERL FRANCOIS ZDENĚK (1887 - 1962),Parížanka,EBERL FRANCOIS ZDENĚK (1887 - 1962) Parížanka,NA,207,2e3,1600,NA,NA,-400
EBERL FRANCOIS ZDENĚK (1887 - 1962),Poloakt ženy,EBERL FRANCOIS ZDENĚK (1887 - 1962) Poloakt ženy,NA,49,NA,2500,NA,2 500 - 3 500 €,NA
EBERL FRANCOIS ZDENĚK (1887 - 1962),Zamyslená,EBERL FRANCOIS ZDENĚK (1887 - 1962) Zamyslená,NA,48,NA,6e3,NA,6 000 - 8 000 €,NA
EBERLE FRANCOIS ZDENĚK (1887 - 1962),Matka a syn,EBERLE FRANCOIS ZDENĚK (1887 - 1962) Matka a syn,NA,10,NA,NA,NA,NA,NA
EBERT ALBERT (1906 - 1976),Píniový lesík,EBERT ALBERT (1906 - 1976) Píniový lesík,NA,184,1e3,NA,NA,NA,NA
ECKERDT ALEXANDER (1932 - 1992),Jednonohý bežec,ECKERDT ALEXANDER (1932 - 1992) Jednonohý bežec,NA,86,NA,NA,NA,NA,NA
ECKERDT ALEXANDER (1932 - 1992),Nemý rytier,ECKERDT ALEXANDER (1932 - 1992) Nemý rytier,NA,196,5e3,5200,NA,NA,200
ECKERDT ALEXANDER (1932 - 1992),Opustená,ECKERDT ALEXANDER (1932 - 1992) Opustená,NA,266,8e3,NA,NA,NA,NA
ÉDER GYULA (1875 - 1945),Anjelik,ÉDER GYULA (1875 - 1945) Anjelik,NA,45,500,NA,NA,NA,NA
ÉDER GYULA (1875 - 1945),Hlava muža,ÉDER GYULA (1875 - 1945) Hlava muža,NA,59,1e3,700,NA,NA,-300
ÉDER GYULA (1875 - 1945),Ležiaci akt s puttim,ÉDER GYULA (1875 - 1945) Ležiaci akt s puttim,NA,69,600,NA,NA,NA,NA
ÉDER GYULA (1875 - 1945),Putti s kaprom,ÉDER GYULA (1875 - 1945) Putti s kaprom,NA,60,900,NA,NA,NA,NA
ÉDER GYULA (1875 - 1945),Únos,ÉDER GYULA (1875 - 1945) Únos,NA,44,700,NA,NA,NA,NA
EDVI-ILLÉS ALADÁR (1870 - 1958),Teliatko,EDVI-ILLÉS ALADÁR (1870 - 1958) Teliatko,NA,161,500,NA,NA,NA,NA
EERELMAN OTTO - PRIPISOVANÉ (1839 - 1926),Kôň,EERELMAN OTTO - PRIPISOVANÉ (1839 - 1926) Kôň,NA,147,8e3,NA,NA,NA,NA
EICHINGER ULRICH (XIX - XX),Rabínska dišputa,EICHINGER ULRICH (XIX - XX) Rabínska dišputa,NA,204,2500,NA,NA,NA,NA
ERDÉLYI MIHÁLY (1884 - 1972),Traja v sade,ERDÉLYI MIHÁLY (1884 - 1972) Traja v sade,NA,177,800,NA,NA,NA,NA
ERDÉLYI VOJTECH (BÉLA) (1891 - 1955),Akty v nočnom lese,ERDÉLYI VOJTECH (BÉLA) (1891 - 1955) Akty v nočnom lese,NA,9,NA,NA,NA,NA,NA
FABIAN MATEJ  (1979),Robotic girl,FABIAN MATEJ  (1979) Robotic girl,NA,95,NA,NA,2 500 €,NA,NA
FABIAN MATEJ (1979),Agnus Dei,FABIAN MATEJ (1979) Agnus Dei,NA,199,2500,2800,NA,NA,300
FABIAN MATEJ (1979),Kohút After Jakub Bogdan,FABIAN MATEJ (1979) Kohút After Jakub Bogdan,NA,270,2800,2800,NA,NA,0
FABIAN MATEJ (1979),Kytica (after Lichtenstein),FABIAN MATEJ (1979) Kytica (after Lichtenstein),NA,83,NA,NA,NA,NA,NA
FABIAN MATEJ (1979),Sixties Ski Mask,FABIAN MATEJ (1979) Sixties Ski Mask,NA,258,1800,1800,NA,NA,0
FABIAN MATEJ (1979),Slovenská strela,FABIAN MATEJ (1979) Slovenská strela,NA,308,2800,NA,NA,NA,NA
FABÍNI JOZEF (1908 - 1984),Jarná krajina,FABÍNI JOZEF (1908 - 1984) Jarná krajina,NA,29,400,400,NA,NA,0
FABÍNI JOZEF (1908 - 1984),Jesenná nálada,FABÍNI JOZEF (1908 - 1984) Jesenná nálada,NA,31,200,200,NA,NA,0
FAVRETTO GIACOMO – PRIPISOVANÉ (1849 - 1887),Portrét ženy,FAVRETTO GIACOMO – PRIPISOVANÉ (1849 - 1887) Portrét ženy,NA,196,3e3,5e3,NA,NA,2e3
FEĎKOVIČ NIKOLAJ (1945),Zátišie so slivkami,FEĎKOVIČ NIKOLAJ (1945) Zátišie so slivkami,NA,272,6500,NA,NA,NA,NA
FELIX KARL EUGEN (1837  - 1906),Akt v ateliéri,FELIX KARL EUGEN (1837  - 1906) Akt v ateliéri,NA,110,1200,1200,NA,NA,0
FELIX KARL EUGEN (1837  - 1906),Portrét dámy,FELIX KARL EUGEN (1837  - 1906) Portrét dámy,NA,178,2400,1900,NA,NA,-500
FEŇVEŠ KAROL (1921),Chaty pod horami,FEŇVEŠ KAROL (1921) Chaty pod horami,NA,43,180,180,NA,NA,0
FEŇVEŠ KAROL (1921),Potok pod Tatrami,FEŇVEŠ KAROL (1921) Potok pod Tatrami,NA,45,80,130,NA,NA,50
FEŇVEŠ KAROL (1921),Tatry,FEŇVEŠ KAROL (1921) Tatry,NA,44,150,150,NA,NA,0
FEŇVEŠ KAROL (1921),Zima v Tatrách,FEŇVEŠ KAROL (1921) Zima v Tatrách,NA,42,190,270,NA,NA,80
FERDIŠ  KOSTKA (1878 - 1951),Džbánok,FERDIŠ  KOSTKA (1878 - 1951) Džbánok,NA,285,350,NA,NA,NA,NA
FERIANCOVÁ PETRA (1977),Ad Vocem Ad Spectatores.,FERIANCOVÁ PETRA (1977) Ad Vocem Ad Spectatores.,NA,170,900,NA,NA,NA,NA
FESZTI ARPÁD (1856 - 1914),Horský potok,FESZTI ARPÁD (1856 - 1914) Horský potok,NA,139,500,500,NA,NA,0
FIALOVÁ SVETLANA (1985),Out Of The Frying Pan and Into The Fire (Z dažďa pod odkvap),FIALOVÁ SVETLANA (1985) Out Of The Frying Pan and Into The Fire (Z dažďa pod odkvap),NA,263,1700,NA,NA,NA,NA
FIERAVINO FRANCESCO - PRIPISOVANÉ (1611 - 1654),Honosné kvetinové zátišie s papagájom a psíkom,FIERAVINO FRANCESCO - PRIPISOVANÉ (1611 - 1654) Honosné kvetinové zátišie s papagájom a psíkom,NA,26,NA,NA,NA,NA,NA
FILA RUDOLF (1932 - 2015),Barvopád,FILA RUDOLF (1932 - 2015) Barvopád,NA,256,7e3,7e3,NA,NA,0
FILA RUDOLF (1932 - 2015),Kompozícia,FILA RUDOLF (1932 - 2015) Kompozícia,NA,217,700,550,NA,NA,-150
FILA RUDOLF (1932 - 2015),Ohyb,FILA RUDOLF (1932 - 2015) Ohyb,NA,215,6e3,6800,NA,NA,800
FILA RUDOLF (1932 - 2015),Pastel (Sonórne spektrum),FILA RUDOLF (1932 - 2015) Pastel (Sonórne spektrum),NA,216,800,650,NA,NA,-150
FILA RUDOLF (1932 - 2015),Pocta holandskému maliarovi van Treckovi,FILA RUDOLF (1932 - 2015) Pocta holandskému maliarovi van Treckovi,NA,257,4e3,NA,NA,NA,NA
FILA RUDOLF (1932 - 2015),Pocta Klimtovi (Premaľba),FILA RUDOLF (1932 - 2015) Pocta Klimtovi (Premaľba),NA,236,220,NA,NA,NA,NA
FILA RUDOLF (1932 - 2015),Pocta Klimtovi (Premaľba) II.,FILA RUDOLF (1932 - 2015) Pocta Klimtovi (Premaľba) II.,NA,237,220,220,NA,NA,0
FILA RUDOLF (1932 - 2015),Pocta Klimtovi I.,FILA RUDOLF (1932 - 2015) Pocta Klimtovi I.,NA,300,250,NA,NA,NA,NA
FILA RUDOLF (1932 - 2015),Pocta Klimtovi II.,FILA RUDOLF (1932 - 2015) Pocta Klimtovi II.,NA,301,250,NA,NA,NA,NA
FILA RUDOLF (1932 - 2015),Premaľba – Pocta Klimtovi I.,FILA RUDOLF (1932 - 2015) Premaľba – Pocta Klimtovi I.,NA,220,300,240,NA,NA,-60
FILA RUDOLF (1932 - 2015),Premaľba – Pocta Klimtovi II.,FILA RUDOLF (1932 - 2015) Premaľba – Pocta Klimtovi II.,NA,221,200,200,NA,NA,0
